Allia;Avec Giacometti;Yanaihara Isaku;https://www.editions-allia.com/fr/livre/688/avec-giacometti;;All_03;1,4;17;22;Conception graphique : Patrick Lébédeff & Gérard Berréby ¶Photographies : Yanaihara Isaku, Annette Giacometti;20,00 €;35;https://volumes.lu/35;rgb(71, 71, 73)
Allia;Awopbopaloobop Alopbamboom;Nik Cohn;https://www.editions-allia.com/fr/livre/324/awopbopaloobop-alopbamboom;;All_02;1,7;17;22;Conception graphique : Patrick Lébédeff & Gérard Berréby ¶Illustrations : D.R.;20,00 €;37;https://volumes.lu/37;rgb(248, 0, 76)
Allia;Please Kill Me ¶L’histoire non censurée du punk racontée par ses acteurs;Gillian McCain, Legs McNeil;https://www.editions-allia.com/fr/livre/332/please-kill-me-lhistoire-non-censuree-du-punk-racontee-par-ses-acteurs;;All_01;3,6;17;22;Conception graphique : Patrick Lébédeff & Gérard Berréby;25,00 €;430;https://volumes.lu/430;rgb(218, 16, 118)
B2;Abou Dhabi;Simon Texier & Jean-François Doulet;http://editions-b2.com/les-livres/58-abou-dhabi.html;Territoires;B2_28;1,4;10;15;Conception graphique : Nikola Jankovic, Pierre Pautler, Florent Pierre, Lionel Catelan, Angelica Ruffier-Holmqvist ¶Réalisation : Ianis Combes;14,00 €;15;https://volumes.lu/15;rgb(250, 185, 9)
B2;Acid visions ¶l’architecture sous LSD;Felicity Scott;http://editions-b2.com/les-livres/15-acid-visions-l-architecture-sous-lsd-felicity-scott.html;Contre-cultures;B2_08;0,99;10;15;Conception graphique : Fabien Labeyrie, Geoffroy Pithon, Aurélien Thibaudeau;12,00 €;17;https://volumes.lu/17;rgb(6, 7, 9)
B2;Bienvenue à Astana;Adrien Fauve;http://editions-b2.com/les-livres/36-bienvenue-a-astana.html;Territoires;B2_20;0,99;10;15;Conception graphique : Nikola Jankovic, Pierre Pautler, Florent Pierre, Lionel Catelan, Angelica Ruffier-Holmqvist ¶Réalisation : Sarah Vadé;12,00 €;41;https://volumes.lu/41;rgb(251, 187, 19)
B2;Deauville;Paul Smith & Boris Veblen;http://editions-b2.com/les-livres/25-deauville-la-vitrine-balneaire-des-elegances-paul-smith-et-boris-veblen.html;Patrimoine;B2_34;0,99;10;15;Conception graphique : Fabien Labeyrie, Geoffroy Pithon, Aurélien Thibaudeau;9,00 €;119;https://volumes.lu/119;rgb(218, 28, 92)
B2;Description et représentation exacte de la Maison de Glace, construite à Saint Pétersbourg au mois de janvier 1740;George Wolfgang Krafft;http://editions-b2.com/les-livres/21-description-et-representation-exacte-de-la-maison-de-glace-construite-a-st-petersbourg-george-w-kraft.html;Fac-similé;B2_05;0,99;10;15;Conception graphique : Fabien Labeyrie, Geoffroy Pithon, Aurélien Thibaudeau;9,00 €;122;https://volumes.lu/122;rgb(9, 2, 9)
B2;E3 ¶Energy. Earth and everyone;Richard Buckminster Fuller;http://editions-b2.com/les-livres/18-energy-earth-and-everyone.html;Contre-cultures;B2_10;1,1;10;15;Conception graphique : Fabien Labeyrie, Geoffroy Pithon, Aurélien Thibaudeau;10,00 €;131;https://volumes.lu/131;rgb(4, 4, 4)
B2;Electriser le Monde;John O’Neill;http://editions-b2.com/les-livres/8-electriser-le-monde.html;Société;B2_30;0,99;10;15;Conception graphique : Fabien Labeyrie, Geoffroy Pithon, Aurélien Thibaudeau;11,00 €;135;https://volumes.lu/135;rgb(9, 18, 13)
